id,sentence,queryId,correct,hulpwerkwoorden,Lengte-bijzin,Scheidbaar-ww,Complex-ww,ww,Pp-extrapositie
DACT/wik_part0049/25506-4-6.xml,"Vier kan gezien worden als de vier steden waartussen gereden zou moeten gaan worden ( Amsterdam , Rotterdam , Antwerpen en Brussel ) .",^q_1c_51234,1,zou moeten gaan worden,9,0,0,rijden,-
DACT/wik_part0107/88347-26-1.xml,"Er zijn simpel gezegd twee manieren om spraak te herkennen : via een vaste grammatica waarbij de ontwerper bepaald welke woorden op welk moment herkend kunnen worden en via de "" groot vocabulaire "" spraakherkenning waarbij in principe alles herkend zou moeten kunnen worden .",^q_1c_51234,1,zou moeten kunnen worden,7,0,1,herkennen,-
DACT/wik_part0134/125720-25-5.xml,"Het is moeilijk te begrijpen hoe met het toenmalige primitieve systeem van seinvlaggen de communicatieproblemen bij het coördineren van een slaglinie van twaalf kilometer lengte overwonnen zouden hebben kunnen worden , vooral als we bedenken dat ook de Britten 24 ingehuurde koopvaarders gebruikten .",^q_1c_51234,1,zou hebben kunnen worden,24,0,1,overwinnen,-
DACT/wik_part0139/136274-25-7.xml,"Homoseksualiteit werd nu niet meer gezien als een misdaad , maar als een medische of psychische aandoening , die genezen zou moeten kunnen worden .",^q_1c_51234,1,zou moeten kunnen worden,5,0,0,genezen,-
DACT/wik_part0142/140549-23-2.xml,Deze stelling werd aanzien als een laatste zware stelling waar de vijand gedurende langere tijd tegengehouden zou moeten kunnen worden .,^q_1c_51234,1,zou moeten kunnen worden,10,1,1,tegenhouden,-
DACT/wik_part0144/142731-7-1.xml,"Recent moleculair onderzoek ( suggereert dat de familie "" Rafflesiaceae "" ontstaan is vanuit de wolfsmelkfamilie , en daar misschien bij ingevoegd zou kunnen gaan worden .",^q_1c_51234,1,zou kunnen gaan worden,8,1,1,invoegen,-
DACT/wik_part0210/265787-4-9.xml,"Een succesvol offensief tegen de Grebbelinie was niet essentieel voor het welslagen van dit plan - - hoe dan ook zou een aanval daar de Nederlanders afleiden en hun krachten binden - - maar het Duitse opperbevel ging ervan uit dat het Nederlandse leger zo zwak was dat de Grebbelinie snel doorbroken zou moeten kunnen worden , vooral omdat men abusievelijk veronderstelde dat de Nederlandse hoofdweerstand bij het oostfront van de Vesting Holland geboden zou worden , zoals inderdaad oorspronkelijk in de bedoeling gelegen had .",^q_1c_51234,1,zou moeten kunnen worden,8,0,1,doorbreken,-
DACT/wik_part0569/1215663-71-6.xml,"Clandestien ging op papier het onderzoek door naar een verbeterde versie , de SARL 42 , die voorzien zou moeten moeten worden van de ARL 3-toren met 75 mm kanon en optische afstandsmeter .",^q_1c_51234,1,zou moeten moeten worden,15,0,1,voorzien,1
DACT/wik_part0615/1367504-4-4.xml,"Ook in de luchtmacht deed bepantsering soms haar intrede ; met name tijdens de Tweede Wereldoorlog , toen het de piloten moest beschermen en bij de ontwikkeling van zwaar bepantserde vliegtuigen , die in theorie moeilijker kapot geschoten zouden moeten kunnen worden door vuur vanaf de grond .",^q_1c_51234,1,zouden moeten kunnen worden,14,1,1,kapotschieten,1
WR-P-P-G0000002/WR-P-P-G-0000002165.p.2.s.3.xml,Dit morele dilemma ( namelijk of zo'n film niet overal vertoond zou moeten kunnen worden ) valt nog net binnen de grens van Etty .,^q_1c_51234,1,zou moeten kunnen worden,10,0,1,vertonen,-
WR-P-P-G0000017/WR-P-P-G-0000009009.p.4.s.1.xml,"De afgelopen weken leverden twee rechercheurs van het onderzoeksteam harde kritiek op hun collega's en superieuren , omdat die koste wat kost André de Vries veroordeeld zouden hebben willen zien .",^q_1c_51234,1,zouden hebben willen zien,12,0,1,veroordelen,-
WR-P-P-G0000136/WR-P-P-G-0000071554.p.2.s.2.xml,"Het gaat niet meer om knap gemaakte korte films , om dappere of laffe , om korte korte films of nog veel kortere , het gaat erom dat ze gemaakt moeten kunnen blijven worden , en vertoond .",^q_1c_51234,1,moeten kunnen blijven worden,6,0,0,maken,-
WR-P-P-G0000230/WR-P-P-G-0000111585.p.15.s.1.xml,"' Redelijk onkuis ' , en ' een oneerlijke vraag ' , vindt Josien Folbert de vraag van Janse aan Nederlandse imams of er in Mekka niet een kerk gebouwd zou moeten kunnen worden .",^q_1c_51234,1,zou moeten kunnen worden,11,0,0,bouwen,-
WR-P-P-G0000230/WR-P-P-G-0000111732.p.17.s.7.xml,Vandaar dat er al langer een debat bezig is over de vraag of die souvereiniteit soms niet gebroken zou moeten kunnen worden door ' humanitaire interventies ' .,^q_1c_51234,1,zou moeten kunnen worden,13,0,0,breken,1
WR-P-P-G0000336/WR-P-P-G-0000157997.p.5.s.6.xml,"Bovendien wilden ze voorkomen dat voortaan gekwalificeerde havenarbeid ( zoals laden en lossen ) gedaan zou mogen gaan worden door ongekwalificeerde arbeidskrachten , met alle veiligheidsrisico's van dien .",^q_1c_51234,1,zou mogen gaan worden,15,0,0,doen,1
DACT/wik_part0070/43320-50-2.xml,"Dat bracht hem , niet beseffend dat de industrieën naar de Oeral geëvacueerd zouden worden , tot het bevel in september eerst de saillant van Kiev af te snijden , terwijl een onmiddellijke opmars naar het oosten Moskou nog voor de herfstregens zou hebben doen laten vallen .",^q_2c_12345,1,zou hebben doen laten,16,0,0,vallen,-?
DACT/wik_part0205/255088-29-9.xml,"In sommige uitbeeldingen wordt het alter ego echter slechts schematisch voorgesteld , soms zelfs zodanig dat de uitbeelding van het alter ego er niet meer is , hoewel in de figuur het blok steen wel is behouden waar het alter ego zou hebben moeten zijn gebeeldhouwd .",^q_2c_12345,1,zou hebben moeten zijn,8,0,1,beeldhouwen,-
DACT/wik_part0483/969839-56-3.xml,"( Als voorbeeld werd hierbij gewezen op de hypothecaire lening die reeds geruime tijd zonder problemen wordt afbetaald , en derhalve tegen ( ongeveer ) de nominale waarde zou moeten kunnen worden opgenomen , doch die in een "" distressed market "" tegen een aanmerkelijk lagere koers zou moeten worden gewaardeerd . )",^q_2c_12345,1,zou moeten kunnen worden,10,1,1,opnemen,0
DACT/wik_part0687/1623942-21-2.xml,"Het dier was evident een tweevoeter , die zich met zijn enorme benen snel lopend zou moeten hebben kunnen voortbewegen , zij het dat de vlieghuid dit wellicht wat had belemmerd .",^q_2c_12345,1,zou moeten hebben kunnen,12,1,1,voortbewegen,-
DACT/wik_part0731/1770058-11-5.xml,Op Chili werden schelpen landinwaarts gevonden waaruit Darwin zou hebben moeten kunnen concluderen dat dit vroeger een zeebodem was en nu omhoog geduwd door snelle geologische processen ( in plaats van door langzame veranderingen ) .,^q_2c_12345,1,zou hebben moeten kunnen,6,0,0,concluderen,-
DACT/wik_part0089/64326-6-3.xml,Daarbij zijn er in verschillende tradities ontstaan en in de periode van de papieren heraldiek schreven de herauten en wapenkoningen voor dat de rang van de drager ook aan de helm zou moeten worden kunnen herkend .,^q_1_pos,1,zou moeten worden kunnen,9,0,1,herkennen,-
