id,sentence,queryId,
WR-P-P-G0000062/WR-P-P-G-0000033266.p.2.s.2.xml,"' Maar een eenvoudige rekensom leert dat extra bezuinigingen betekenen dat wij geen van de ambities die door u - en onszelf - zijn geïdentificeerd zullen kunnen realiseren ' , schrijft H. Bruins Slot , voorzitter van de raad van bestuur van de Publieke Omroep .",^q_2b_12345,0
WR-P-P-G0000240/WR-P-P-G-0000115930.p.1.s.2.xml,"De leider van de CSU zei zondag dat de inspanning die mensen hebben geleverd door kinderen te krijgen en op te voeden zou moeten worden beloond met ' een kinderpensioen ' .",^q_2b_12345,0
WR-P-P-G0000300/WR-P-P-G-0000141332.p.1.s.2.xml,"De Liberiaanse rebellengroep LURD heeft vrijdag gezegd dat elke vredesmacht die vóór het aftreden van president Charles Taylor wordt geïnstalleerd voorbereid moet zijn op een conflict met de rebellen .",^q_2b_12345,0
WR-P-P-G0000346/WR-P-P-G-0000162812.p.7.s.3.xml,"Militairen verwijderden de portretten en waarschuwden per megafoon dat Irakezen die zich op het plein zouden wagen zouden worden neergeschoten .",^q_2b_12345,0
WR-P-P-G0000350/WR-P-P-G-0000164601.p.2.s.1.xml,"De machtigste kleuter ter wereld , die wel riep dat Irakezen die oorlogsmisdaden plegen gestraft zouden moeten worden en die moord en brand roept in ' zijn ' strijd tegen het terrorisme , kent immers zijn pappenheimers .",^q_2b_12345,0
WR-P-P-G0000353/WR-P-P-G-0000165744.p.1.s.1.xml,"Na de nederlaag van diverse politieke partijen wordt geopperd dat de stemmen die naar Paul van Buitenen zijn gegaan ingevuld moeten worden als proteststem .",^q_2b_12345,0
WR-P-P-G0000408/WR-P-P-G-0000183738.p.13.s.5.xml,"" Ik hoop dat je de pijn , het kwade , het verdriet en de opstandigheid die je op dat moment hebt moeten voelen kunt vergeten .",^q_2b_12345,0
WR-P-P-G0000411/WR-P-P-G-0000184684.p.16.s.1.xml,"" Het is de reden waarom ik recentelijk op een internationaal congres over het downsyndroom dat in Brugge werd gehouden ben gaan praten .",^q_2b_12345,0
WR-P-P-G0000418/WR-P-P-G-0000187233.p.5.s.3.xml,"De stad laat nu uitzoeken of de schade die maandag is aangericht verhaald kan worden op de brandweer .",^q_2b_12345,0
WR-P-P-G0000446/WR-P-P-G-0000196450.p.15.s.4.xml,"Toen l'Association werd opgericht , besefte ik plots dat het boek dat ik wilde maken uitgegeven kon worden .",^q_2b_12345,0
WR-P-P-G0000483/WR-P-P-G-0000208719.p.20.s.6.xml,"Maar ik maak me sterk dat we met de haarscherpe manier waarop onze mensen in Kamer en Senaat de manco's van paars blijven blootleggen kunnen blijven tonen dat we een alternatief zijn .",^q_2b_12345,0
WR-P-P-G0000539/WR-P-P-G-0000230628.p.5.s.3.xml,"" Ik verkondig al maanden dat , wanneer ik een beslissing over de toekomst van mijn carrière neem , ik het aan iedereen die het wil horen zal laten weten .",^q_2b_12345,0
WR-P-P-G0000622/WR-P-P-G-0000263767.p.2.s.2.xml,"Maar de Franstaligen dienden een belangenconflict in tegen de bepaling dat wie een sociale woning wil huren bereid moet zijn om Nederlands te leren .",^q_2b_12345,0
WR-P-P-G0000623/WR-P-P-G-0000264185.p.7.s.5.xml,"Overal groeide de overtuiging dat het enige werkzame economische systeem dat materiële welvaart kan brengen gestoeld moet zijn op markteconomische principes .",^q_2b_12345,0
WR-P-P-G0000832/WR-P-P-G-0000387583.p.4.s.8.xml,"Agneessens liet wel verstaan dat de doelstelling om de winst per aandeel met 10 % te laten groeien overschreden zou worden .",^q_2b_12345,0
WR-P-P-G0000902/WR-P-P-G-0000428526.p.4.s.6.xml,"De gedachte alleen al dat we Fientje die ongedeerd is gebleven zouden hebben moeten afgeven , is onverdraaglijk .",^q_2b_12345,0
WR-P-P-G0000945/WR-P-P-G-0000453540.p.3.s.1.xml,"«Ik betwijfel of die jongens het ganse seizoen met zoveel energie als dit tegen ons het geval was zullen kunnen blijven voetballen .",^q_2b_12345,0
WR-P-P-G0001236/WR-P-P-G-0000606244.p.2.s.3.xml,"" Ik verkondig al maanden dat wanneer ik een beslissing over de toekomst van mijn carrière neem , ik het aan iedereen die het wil horen zal laten weten .",^q_2b_12345,0
WR-P-P-G0001444/WR-P-P-G-0000697392.p.4.s.4.xml,"Ik gun Wallonië zijn hefboomproject en begrijp dat de tienduizenden euro's die het Waalse gewest erin heeft gepompt moeten beginnen renderen .",^q_2b_12345,0
